2025-11-16 13:11:32 | INFO | valid | epoch 034 | valid on 'valid' subset | loss 1.00531 | wps 3084 | wpb 1638.7 | bsz 55.9 | num_updates 122332 | best_loss 0.768927
2025-11-16 14:23:48 | INFO | valid | epoch 035 | valid on 'valid' subset | loss 1.00537 | wps 2699.9 | wpb 1638.7 | bsz 55.9 | num_updates 125930 | best_loss 0.768927
2025-11-16 15:35:49 | INFO | valid | epoch 036 | valid on 'valid' subset | loss 1.00568 | wps 2794.6 | wpb 1638.7 | bsz 55.9 | num_updates 129528 | best_loss 0.768927
2025-11-16 16:47:57 | INFO | valid | epoch 037 | valid on 'valid' subset | loss 1.00538 | wps 2636.9 | wpb 1638.7 | bsz 55.9 | num_updates 133126 | best_loss 0.768927
2025-11-16 17:59:06 | INFO | valid | epoch 038 | valid on 'valid' subset | loss 1.00543 | wps 3264 | wpb 1638.7 | bsz 55.9 | num_updates 136724 | best_loss 0.768927
2025-11-16 19:11:09 | INFO | valid | epoch 039 | valid on 'valid' subset | loss 1.00526 | wps 2562.8 | wpb 1638.7 | bsz 55.9 | num_updates 140322 | best_loss 0.768927
2025-11-16 20:22:23 | INFO | valid | epoch 040 | valid on 'valid' subset | loss 1.00543 | wps 3172.5 | wpb 1638.7 | bsz 55.9 | num_updates 143920 | best_loss 0.768927
2025-11-16 21:34:55 | INFO | valid | epoch 041 | valid on 'valid' subset | loss 1.00523 | wps 2487.2 | wpb 1638.7 | bsz 55.9 | num_updates 147518 | best_loss 0.768927
2025-11-16 22:46:30 | INFO | valid | epoch 042 | valid on 'valid' subset | loss 1.00528 | wps 3052.6 | wpb 1638.7 | bsz 55.9 | num_updates 151116 | best_loss 0.768927
2025-11-16 23:58:31 | INFO | valid | epoch 043 | valid on 'valid' subset | loss 1.0067 | wps 2588.9 | wpb 1638.7 | bsz 55.9 | num_updates 154714 | best_loss 0.768927
2025-11-17 01:10:15 | INFO | valid | epoch 044 | valid on 'valid' subset | loss 1.00525 | wps 3263.4 | wpb 1638.7 | bsz 55.9 | num_updates 158312 | best_loss 0.768927
2025-11-17 02:22:27 | INFO | valid | epoch 045 | valid on 'valid' subset | loss 1.00524 | wps 2519.8 | wpb 1638.7 | bsz 55.9 | num_updates 161910 | best_loss 0.768927
2025-11-17 03:33:57 | INFO | valid | epoch 046 | valid on 'valid' subset | loss 1.00547 | wps 3193.7 | wpb 1638.7 | bsz 55.9 | num_updates 165508 | best_loss 0.768927
2025-11-17 04:47:02 | INFO | valid | epoch 047 | valid on 'valid' subset | loss 1.00573 | wps 2526.6 | wpb 1638.7 | bsz 55.9 | num_updates 169106 | best_loss 0.768927
2025-11-17 05:59:19 | INFO | valid | epoch 048 | valid on 'valid' subset | loss 1.00524 | wps 3065.2 | wpb 1638.7 | bsz 55.9 | num_updates 172704 | best_loss 0.768927
2025-11-17 07:11:10 | INFO | valid | epoch 049 | valid on 'valid' subset | loss 1.0065 | wps 2944.8 | wpb 1638.7 | bsz 55.9 | num_updates 176302 | best_loss 0.768927
2025-11-17 08:23:57 | INFO | valid | epoch 050 | valid on 'valid' subset | loss 1.0055 | wps 2661.9 | wpb 1638.7 | bsz 55.9 | num_updates 179900 | best_loss 0.768927
2025-11-17 09:35:11 | INFO | valid | epoch 051 | valid on 'valid' subset | loss 1.00575 | wps 3045.3 | wpb 1638.7 | bsz 55.9 | num_updates 183498 | best_loss 0.768927
2025-11-17 10:47:11 | INFO | valid | epoch 052 | valid on 'valid' subset | loss 1.00566 | wps 2546.6 | wpb 1638.7 | bsz 55.9 | num_updates 187096 | best_loss 0.768927
